Problem ID,Problem Name,Acceptance Rate,Difficulty,Topics
1,Two Sum,52.6,Easy,"Array, Hash Table"
2,Add Two Numbers,42.9,Medium,"Linked List, Math, Recursion"
3,Longest Substring Without Repeating Characters,34.8,Medium,"Hash Table, String, Sliding Window"
4,Median of Two Sorted Arrays,40.1,Hard,"Array, Binary Search, Divide and Conquer"
5,Longest Palindromic Substring,33.9,Medium,"String, Dynamic Programming"
6,Zigzag Conversion,48.1,Medium,String
7,Reverse Integer,28.6,Medium,Math
8,String to Integer (atoi),17.3,Medium,String
9,Palindrome Number,56.5,Easy,Math
10,Regular Expression Matching,28.2,Hard,"String, Dynamic Programming, Recursion"
11,Container With Most Water,55.3,Medium,"Array, Two Pointers, Greedy"
12,Integer to Roman,64.9,Medium,"Hash Table, Math, String"
13,Roman to Integer,61.3,Easy,"Hash Table, Math, String"
14,Longest Common Prefix,42.9,Easy,String
15,3Sum,34.6,Medium,"Array, Two Pointers, Sorting"
16,3Sum Closest,45.8,Medium,"Array, Two Pointers, Sorting"
17,Letter Combinations of a Phone Number,60.5,Medium,"Hash Table, String, Backtracking"
18,4Sum,36.3,Medium,"Array, Two Pointers, Sorting"
19,Remove Nth Node From End of List,45.4,Medium,"Linked List, Two Pointers"
20,Valid Parentheses,40.6,Easy,"String, Stack"
21,Merge Two Sorted Lists,64.4,Easy,"Linked List, Recursion"
22,Generate Parentheses,74.6,Medium,"String, Dynamic Programming, Backtracking"
23,Merge k Sorted Lists,52.9,Hard,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
24,Swap Nodes in Pairs,64.5,Medium,"Linked List, Recursion"
25,Reverse Nodes in k-Group,58.8,Hard,"Linked List, Recursion"
26,Remove Duplicates from Sorted Array,55.9,Easy,"Array, Two Pointers"
27,Remove Element,56.9,Easy,"Array, Two Pointers"
28,Find the Index of the First Occurrence in a String,42.4,Easy,"Two Pointers, String, String Matching"
29,Divide Two Integers,17.5,Medium,"Math, Bit Manipulation"
30,Substring with Concatenation of All Words,32.7,Hard,"Hash Table, String, Sliding Window"
31,Next Permutation,40,Medium,"Array, Two Pointers"
32,Longest Valid Parentheses,34.2,Hard,"String, Dynamic Programming, Stack"
33,Search in Rotated Sorted Array,40.8,Medium,"Array, Binary Search"
34,Find First and Last Position of Element in Sorted Array,44.4,Medium,"Array, Binary Search"
35,Search Insert Position,46,Easy,"Array, Binary Search"
36,Valid Sudoku,59.7,Medium,"Array, Hash Table, Matrix"
37,Sudoku Solver,61.3,Hard,"Array, Backtracking, Matrix"
38,Count and Say,55.2,Medium,String
39,Combination Sum,71.6,Medium,"Array, Backtracking"
40,Combination Sum II,54.6,Medium,"Array, Backtracking"
41,First Missing Positive,39.6,Hard,"Array, Hash Table"
42,Trapping Rain Water,62.1,Hard,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
43,Multiply Strings,40.5,Medium,"Math, String, Simulation"
44,Wildcard Matching,28,Hard,"String, Dynamic Programming, Greedy, Recursion"
45,Jump Game II,40.5,Medium,"Array, Dynamic Programming, Greedy"
46,Permutations,78.4,Medium,"Array, Backtracking"
47,Permutations II,59.3,Medium,"Array, Backtracking"
48,Rotate Image,74.5,Medium,"Array, Math, Matrix"
49,Group Anagrams,68.6,Medium,"Array, Hash Table, String, Sorting"
50,Pow(x, n),34.9,"Math, Recursion"
51,N-Queens,68.4,Hard,"Array, Backtracking"
